Link,Fiyat,Konum,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt Metrekare,Net Metrekare,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Site İçerisinde,Cephe,Depozito,Aidat,Yetkili Ofis
https://www.hepsiemlak.com/bursa-osmangazi-emek-fatih-sultan-mehmet-kiralik/daire/135160-111,17.000 TL,Bursa Osmangazi Emek Fatih Sultan Mehmet Mah.,135160-111,12-05-2025,Kiralık,Daire,Müstakil Ev,2 + 1,1,1102 m2,902 m2,3 Katlı,3. Kat,30 Yaşında,Kombi,Doğalgaz,Arsa,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu, Batı",17.000 TL,,Evet
https://www.hepsiemlak.com/bursa-inegol-kemalpasa-kiralik/daire/0-43264413,7.500 TL,Bursa İnegöl Kemalpaşa Mah.,0-43264413,25-03-2025,Kiralık,Daire,Müstakil Ev,4 + 1,1,1402 m2,1202 m2,1 Katlı,Giriş Katı,999 Yaşında,Kombi,Doğalgaz,Arsa,Eşyalı,Betonarme,İkinci El,Mülk Sahibi,,Güney,7.500 TL,,
https://www.hepsiemlak.com/bursa-yildirim-ortabaglar-kiralik/daire/0-44154635,18.490 TL,Bursa Yıldırım Ortabağlar Mah.,0-44154635,23-03-2025,Kiralık,Daire,Daire,3 + 1,1,1102 m2,1002 m2,4 Katlı,Kot 2,29 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı,Betonarme,İkinci El,Boş,,,49.980 TL,,
https://www.hepsiemlak.com/bursa-orhangazi-camiikebir-kiralik/daire/146230-126,25.000 TL,Bursa Orhangazi Camiikebir Mah.,146230-126,20-05-2025,Kiralık,Daire,Daire,3 + 1,2,1502 m2,1402 m2,5 Katlı,4. Kat,14 Yaşında,Kombi,Doğalgaz,Tapu Yok,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Doğu, Batı",25.000 TL,300 TL,Evet
https://www.hepsiemlak.com/bursa-nilufer-balkan-kiralik/daire/120973-409,10.000 TL,Bursa Nilüfer Balkan Mah.,120973-409,16-04-2025,Kiralık,Daire,Daire,2 + 1,1,852 m2,752 m2,5 Katlı,4. Kat,25 Yaşında,Kombi,Doğalgaz,Yabancıdan,Eşyalı Değil,Betonarme,İkinci El,Boş,,,10.000 TL,500 TL,Evet
https://www.hepsiemlak.com/bursa-nilufer-gorukle-kiralik/daire/155732-26,18.500 TL,Bursa Nilüfer Görükle Mah.,155732-26,12-05-2025,Kiralık,Daire,Daire,2 + 1,1,802 m2,702 m2,4 Katlı,1. Kat,12 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,,"Kuzey, Doğu",19.500 TL,200 TL,Evet
https://www.hepsiemlak.com/bursa-inegol-burhaniye-kiralik/daire/118048-4,23.000 TL,Bursa İnegöl Burhaniye Mah.,118048-4,22-05-2025,Kiralık,Daire,Daire,2 + 1,1,1202 m2,1102 m2,2 Katlı,2. Kat,6 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,,Güney,25.000 TL,,Evet
https://www.hepsiemlak.com/bursa-nilufer-cali-kiralik/daire/19374-1917,25.000 TL,Bursa Nilüfer Çalı Mah.,19374-1917,09-05-2025,Kiralık,Daire,Çatı Dubleksi,4 + 1,2,1602 m2,1302 m2,3 Katlı,3. Kat,10 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Güney, Doğu",25.000 TL,500 TL,Evet
https://www.hepsiemlak.com/bursa-gemlik-kursunlu-kiralik/mustakil-ev/147717-143,10.000 TL,Bursa Gemlik Kurşunlu Mah.,147717-143,09-04-2025,Kiralık,Müstakil Ev,Bahçe Katı,1 + 1,1,602 m2,502 m2,3 Katlı,,30 Yaşında,Doğalgaz Sobası,Doğalgaz,Müstakil Tapulu,Eşyalı,Betonarme,İkinci El,Boş,,,10.000 TL,,Evet
https://www.hepsiemlak.com/bursa-nilufer-23-nisan-kiralik/daire/150147-274,,,,,,,,,,,,,,,,,,,,,,,,,,
